name	gkz	pop
 M??nchengladbach, Kreisfreie Stadt	5116	252791
Rhein-Neckar-Kreis	8226	541111
Saale-Holzland-Kreis	16074	84418
 Helmstedt	3154	88707
 Ludwigslust	13054	117955
 Kaiserslautern	7335	103287
Weimar, Kreisfreie Stadt	16055	65123
 Schw??bisch Hall	8127	188488
 Rhein-Lahn-Kreis	7141	119547
 Frankfurt am Main, Kreisfreie Stadt	6412	679033
Burgenlandkreis	15084	177273
 Steinburg	1061	129511
Zwickau	14524	317249
 Baden-Baden, Kreisfreie Stadt	8211	55433
 Essen, Kreisfreie Stadt	5113	557269
 Rhein-Hunsr??ck-Kreis	7140	99942
Magdeburg, Kreisfreie Stadt	15003	217822
Jerichower Land	15086	90334
 Wesel	5170	456482
 Miesbach	9182	97812
S??mmerda	16068	68753
 Warendorf	5570	272870
 Aichach-Friedberg	9771	130242
 Schwandorf	9376	140672
Altenburger Land	16077	89042
 Rosenheim, Kreisfreie Stadt	9163	62058
 Nordvorpommern	13057	99333
 Karlsruhe	8215	437830
Weimarer-Land	16071	80916
 Steinfurt	5566	439843
Schmalkalden-Meiningen	16066	121463
 Hochsauerlandkreis	5958	255445
 Emmendingen	8316	161269
 M??ritz	13056	61433
Bautzen	14625	297588
Suhl, Kreisfreie Stadt	16054	33991
 Wetteraukreis	6440	298767
 Ostalbkreis	8136	306923
 Kronach	9476	66363
 Bremerhaven, Kreisfreie Stadt	4012	108436
 Mainz-Bingen	7339	204057
 Rheingau-Taunus-Kreis	6439	181181
 Barnim	12060	184803
Greiz	16076	98617
 Ahrweiler	7131	125617
 L??rrach	8336	224001
 Emden, Kreisfreie Stadt	3402	50759
 Verden	3361	132012
 Waldeck-Frankenberg	6635	155084
 Landsberg am Lech	9181	119467
 Ostvorpommern	13059	100134
 Nordwestmecklenburg	13058	114841
 Worms, Kreisfreie Stadt	7319	82292
 Herne, Kreisfreie Stadt	5916	157356
B??rde	15083	170410
 Bodenseekreis	8435	211064
G??rlitz	14626	252315
 Friesland	3455	96489
 Hohenlohekreis	8126	108539
 Schwalm-Eder-Kreis	6634	174036
